route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
09_1,FULLW,09_1_PM_13,,,,
09_1,FULLW,09_1_PM_14,,,,
09_1,FULLW,09_1_PM_15,,,,
09_1,FULLW,09_1_PM_16,,,,
09_1,FULLW,09_1_PM_17,,,,
09_1,FULLW,09_1_PM_18,,,,
09_1,FULLW,09_1_PM_19,,,,
09_1,FULLW,09_1_PM_20,,,,
09_1,FULLW,09_1_PM_21,,,,
09_2,FULLW,09_2_PM_1,,,,
09_2,FULLW,09_2_PM_2,,,,
09_2,FULLW,09_2_PM_3,,,,
09_2,FULLW,09_2_PM_4,,,,
09_2,FULLW,09_2_PM_5,,,,
09_2,FULLW,09_2_PM_6,,,,
09_2,FULLW,09_2_PM_7,,,,
09_2,FULLW,09_2_PM_8,,,,
09_2,FULLW,09_2_PM_9,,,,
09_2,FULLW,09_2_PM_10,,,,
09_2,FULLW,09_2_PM_11,,,,
09_2,FULLW,09_2_PM_12,,,,
09_2,FULLW,09_2_PM_13,,,,
09_2,FULLW,09_2_PM_14,,,,
09_2,FULLW,09_2_PM_15,,,,
09_2,FULLW,09_2_PM_16,,,,
09_2,FULLW,09_2_PM_17,,,,
09_2,FULLW,09_2_PM_18,,,,
09_2,FULLW,09_2_PM_19,,,,
09_2,FULLW,09_2_PM_20,,,,
09_2,FULLW,09_2_PM_21,,,,
10A_1,FULLW,10A_1_PM_1,,,,
10A_1,FULLW,10A_1_PM_2,,,,
10A_1,FULLW,10A_1_PM_3,,,,
10A_1,FULLW,10A_1_PM_4,,,,
10A_1,FULLW,10A_1_PM_5,,,,
10A_1,FULLW,10A_1_PM_6,,,,
10A_1,FULLW,10A_1_PM_7,,,,
10A_1,FULLW,10A_1_PM_8,,,,
10A_1,FULLW,10A_1_PM_9,,,,
10A_1,FULLW,10A_1_PM_10,,,,
10A_1,FULLW,10A_1_PM_11,,,,
10A_1,FULLW,10A_1_PM_12,,,,
10A_1,FULLW,10A_1_PM_13,,,,
10A_1,FULLW,10A_1_PM_14,,,,
10A_1,FULLW,10A_1_PM_15,,,,
10A_1,FULLW,10A_1_PM_16,,,,
10A_1,FULLW,10A_1_PM_17,,,,
10A_1,FULLW,10A_1_PM_18,,,,
10A_1,FULLW,10A_1_PM_19,,,,
10A_1,FULLW,10A_1_PM_20,,,,
10A_1,FULLW,10A_1_PM_21,,,,
10A_2,FULLW,10A_2_PM_1,,,,
10A_2,FULLW,10A_2_PM_2,,,,
10A_2,FULLW,10A_2_PM_3,,,,
10A_2,FULLW,10A_2_PM_4,,,,
10A_2,FULLW,10A_2_PM_5,,,,
10A_2,FULLW,10A_2_PM_6,,,,
10A_2,FULLW,10A_2_PM_7,,,,
10A_2,FULLW,10A_2_PM_8,,,,
10A_2,FULLW,10A_2_PM_9,,,,
10A_2,FULLW,10A_2_PM_10,,,,
10A_2,FULLW,10A_2_PM_11,,,,
10A_2,FULLW,10A_2_PM_12,,,,
10A_2,FULLW,10A_2_PM_13,,,,
