stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
stop_point:SP_4576,70790,Ox Eglise,43.441810866064074,1.2912700868580282,0,stop_area:SA_2240,2
stop_point:SP_4577,70700,Campanules,43.45221495380948,1.3958811737579255,0,stop_area:SA_2241,1
stop_point:SP_4578,70741,Bescourade,43.459462325845294,1.3732633343707032,0,stop_area:SA_2229,1
stop_point:SP_4579,70591,Cepette,43.476416146363995,1.3980857807651101,0,stop_area:SA_2231,1
stop_point:SP_458,22101,Lasserre,43.593076118266126,1.5733990899996968,0,stop_area:SA_1692,1
stop_point:SP_4580,70730,Lanasse,43.45821642722112,1.3806105624199707,0,stop_area:SA_2239,1
stop_point:SP_4581,70751,Cupidou,43.458977446124756,1.3612159719821895,0,stop_area:SA_2247,2
stop_point:SP_4582,70580,Gare Pins Justaret,43.48088270005798,1.3993923601055773,0,stop_area:SA_2230,1
stop_point:SP_4583,70800,Mairie St-Hilaire,43.41986946949461,1.2774458852118633,0,stop_area:SA_2265,1
stop_point:SP_4584,72181,Denton,43.46733605349565,1.2458286839124777,0,stop_area:SA_2257,2
stop_point:SP_4585,70861,République,43.39924804612728,1.2680841074124418,0,stop_area:SA_2258,2
stop_point:SP_4587,72001,La Carrère,43.46635497668179,1.250587170457697,0,stop_area:SA_2260,1
stop_point:SP_4588,72190,Cabanac,43.46776802037064,1.2402994102408476,0,stop_area:SA_2253,2
stop_point:SP_4589,72180,Denton,43.46739281373776,1.2464643544921126,0,stop_area:SA_2257,2
stop_point:SP_459,17561,La Lie,43.593941835907685,1.5574305310168246,0,stop_area:SA_1199,1
stop_point:SP_4590,70880,Le Fauga Cimetière,43.39819255459567,1.2979000247834458,0,stop_area:SA_2261,2
stop_point:SP_4591,70791,Ox Eglise,43.4424618577722,1.2919489356194587,0,stop_area:SA_2240,2
stop_point:SP_4592,70871,Cazaleres,43.39764678333168,1.2929478523548241,0,stop_area:SA_2251,2
stop_point:SP_4593,72120,Mairie Labastidette,43.459955257543555,1.2452957542067895,0,stop_area:SA_2264,2
stop_point:SP_4594,70781,Justices,43.44901914466091,1.2974273124281894,0,stop_area:SA_2243,1
stop_point:SP_4595,70850,Mairie Lavernose,43.396373515810815,1.2618126365831939,0,stop_area:SA_2263,2
stop_point:SP_4596,70821,Graves,43.391116641552365,1.2530024756254514,0,stop_area:SA_2266,2
